 160 ;     402042 ;  Right Click
 161 ;     402348 ;  Right Click
 162 ;     402510 ;  Keypress space
 163 ;     403723 ;  Right Click
 164 ;     403913 ;  Keypress space
 165 ;     406680 ;  Keypress space
 166 ;     410697 ;  Keypress q
 167 ;     410812 ;  Keypress space
 168 ;     410812 ;  Keypress 6
 169 ;     410926 ;  Keypress space
 170 ;     410926 ;  Keypress w
 171 ;     410985 ;  Right Click
 172 ;     411033 ;  Keypress space
 173 ;     412664 ;  Right Click
 174 ;     412785 ;  Keypress space
 175 ;     414336 ;  Right Click
 176 ;     414504 ;  Right Click
 177 ;     414628 ;  Keypress space
 178 ;     415783 ;  Right Click
 179 ;     415907 ;  Keypress space
 180 ;     417717 ;  Right Click
 181 ;     417873 ;  Keypress space
 182 ;     420485 ;  Right Click
 183 ;     420630 ;  Keypress space
 184 ;     422042 ;  Right Click
 185 ;     422176 ;  Right Click
 186 ;     422327 ;  Keypress space
 187 ;     424160 ;  Keypress space
 188 ;     428349 ;  Right Click
 189 ;     428605 ;  Keypress space
 190 ;     431072 ;  Right Click
 191 ;     431083 ;  Keypress space
 192 ;     432714 ;  Keypress space
 193 ;     433438 ;  Right Click
 194 ;     435976 ;  Keypress space
 195 ;     438224 ;  Left Click
 196 ;     439773 ;  Keypress space
 197 ;     448346 ;  Left Click
 198 ;     449675 ;  Keypress space
 199 ;     459706 ;  Keypress space
 200 ;     459706 ;  Keypress q
 201 ;     459837 ;  Keypress space
 202 ;     461772 ;  Keypress w
 203 ;     461804 ;  Right Click
 204 ;     461888 ;  Keypress space
 205 ;     465347 ;  Keypress q
 206 ;     465488 ;  Keypress space
 207 ;     467687 ;  Keypress b
 208 ;     468417 ;  Keypress enter
 209 ;     468533 ;  Keypress s
 210 ;     468725 ;  Keypress o
 211 ;     468844 ;  Keypress r
 212 ;     468974 ;  Keypress r
 213 ;     469045 ;  Keypress y
 214 ;     469115 ;  Keypress space
 215 ;     469234 ;  Keypress enter
 216 ;     471668 ;  Left Click
 217 ;     474314 ;  Left Click
 218 ;     474641 ;  Left Click
 219 ;     474863 ;  Left Click
 220 ;     475964 ;  Left Click
 221 ;     477042 ;  Keypress c
 222 ;     477220 ;  Keypress a
 223 ;     477268 ;  Keypress t
 224 ;     477413 ;  Keypress a
 225 ;     478103 ;  Right Click
 226 ;     478378 ;  Right Click
 227 ;     479873 ;  Left Click
 228 ;     480258 ;  Keypress space
 229 ;     486144 ;  Keypress space
 230 ;     491999 ;  Keypress space
 231 ;     493530 ;  Right Click
 232 ;     493583 ;  Keypress space
 233 ;     493584 ;  Keypress space
 234 ;     495873 ;  Keypress enter
 235 ;     496047 ;  Keypress s
 236 ;     496264 ;  Keypress t
 237 ;     496364 ;  Keypress e
 238 ;     496590 ;  Keypress a
 239 ;     496818 ;  Keypress l
 240 ;     496909 ;  Keypress space
 241 ;     497349 ;  Keypress t
 242 ;     497468 ;  Keypress h
 243 ;     497557 ;  Keypress e
 244 ;     497673 ;  Keypress space
 245 ;     497795 ;  Keypress k
 246 ;     497952 ;  Keypress i
 247 ;     498127 ;  Keypress l
 248 ;     498246 ;  Keypress l
 249 ;     498362 ;  Keypress space
 250 ;     498481 ;  Keypress l
 251 ;     498575 ;  Keypress o
 252 ;     498667 ;  Keypress l
 253 ;     499010 ;  Keypress ,
 254 ;     499130 ;  Keypress space
 255 ;     499381 ;  Keypress i
